# airports.tab	main airports list

# This file is part of Tripover, a broad-search journey planner.

#  Copyright (C) 2014-2016 Joris van der Geer.

# This file is used by gtfstool when creating gtfs feeds from air timetables
# derived partially from openflights.org and ourairports.com  res.taca.com/zed/app/codes.html

# name	code	cc	lat	lon	utcofs	citydst	lat	lon

Aalborg	AAL	dk	57.086479	9.872927	Europe/Copenhagen	aal_lindholm	57.066592	9.904876
Aalesund	AES	no	62.558435	6.116147	Europe/Oslo	aes_skaterflukaia	62.474284	6.155245
Aarhus	AAR	dk	56.308192	10.626745	Europe/Copenhagen	aar_kolind	56.362528	10.589929
Abakan	ABA	ru	53.7400016784668	91.38500213623	Asia/Krasnoyarsk
Abbotsford	YXX	ca	49.023059	-122.380165	America/Vancouver
Aberdeen	ABR	us-sd	45.452928	-98.417790	America/Chicago
Aberdeen	ABZ	gb	57.200167	-2.204338	Europe/London	abz_central	57.141114	-2.099453
Abha	AHB	sa	18.24037	42.65662	Asia/Riyadh
Abidjan	ABJ	ci	5.255279	-3.932808	Africa/Abidjan	abj_port	5.299978	-4.015119
Abilene	ABI	us-tx	32.411260	-99.680060	America/Chicago
Abilene	DYS	us-tx	32.424648	-99.847053	America/Chicago
Abu Dhabi	AUH	ae	4.5189	54.980	Asia/Yekaterinburg
Abuja	ABV	ng	9.004927	7.270490	Africa/Lagos
Acapulco	ACA	mx	16.763044	-99.754121	America/Mexico_City
Accra	ACC	gh	5.6051898	-0.166786	Africa/Accra
Adana	ADA	tr	36.983219	35.296405	Europe/Istanbul
Addis Ababa	ADD	et	8.983888	38.795666	Africa/Addis_Ababa
Adelaide	ADL	au-sa	-34.938749	138.536399	Australia/Adelaide	adl_Railway	-34.920930	138.595569
Aden	ADE	ye	12.824824	45.038102	300
Aershan Yiershi	YIE	cn	47.310963	119.922587	Asia/Shanghai
Agadir	AGA	ma	30.329259	-9.414147	Africa/Casablanca
Agen	AGF	fr	44.176692	0.593802	Europe/Paris	agf_sncf	44.208447	0.620538
Aguadilla, Pr	BQN	pr	18.496268	-67.135651	America/Puerto_Rico
Aguascalientes	AGU	mx	21.701786	-102.313813	America/Mexico_City
Ahmedabad	AMD	in	23.075213	72.623782	Asia/Kolkata
Ahwaz	AWZ	ir	31.3374004364	48.7620010376	Asia/Tehran
Aix En Provence	QXB	fr	43.503997	5.365874	Europe/Paris	qxb_centre	43.522764	5.444795
Ajaccio	AJA	fr	41.920170	8.794107	Europe/Paris
Akita	AXT	jp	39.61556	140.21861	Asia/Tokyo
Akron	CAK	us-oh	40.914713	-81.435762	America/New_York
=Akron/canton CAK
Aksu	AKU	cn	41.254749	80.297308	Asia/Shanghai
Al Ain	AAN	ae	24.26167	55.60917	Asia/Dubai
Alamosa, Co	ALS	us-co	37.443647	-105.865464	America/Denver
Albacete	EEM	es	38.952782	-1.860969	Europe/Madrid	eem_centro	38.999022	-1.847687
AlBaha	ABT	sa	20.294692	41.640083	Asia/Riyadh
Albany	ABY	us	31.532432	-84.188855	America/New_York	aby_civic	31.573760	-84.151571	10
Albany_int	ALB	us	42.745484	-73.810028	America/New_York
Albuquerque	ABQ	us-nm	35.049620	-106.617151	America/Denver	abq_bernalillo	35.029311	-106.657363
Albury	ABX	au-nsw	-36.069966	146.954301	Australia/Sydney	abx_railway	-36.083071	146.925447
=Ålesund  AES
Aleppo	ALP	sy	36.185175	37.216568	Asia/Damascus
Alexandria	AEX	us-la	31.323074	-92.541627	America/Chicago
Alexandria	HBE	eg	30.932711	29.696781	Africa/Cairo	hbe_alexandria	31.192283	29.906680
Alghero	AHO	it	40.629983	8.295654	Europe/Rome	aho_alghero	40.575208	8.322341
Algiers	ALG	dz	36.696323	3.206956	Africa/Algiers
Alicante	ALC	es	38.286405	-0.559040	Europe/Madrid	alc_torrelano	38.289773	-0.582171
Alice Springs	ASP	au-nt	-23.801316	133.903099	Australia/Darwin	asp-railway	-23.697064	133.873305
Allentown	ABE	us	40.651632	-75.433985	America/New_York
Almaty	ALA	kz	43.347666	77.009412	Asia/Almaty
Almeria	LEI	es	36.847935	-2.372084	Europe/Madrid	lei_centro	36.834935	-2.454975
Al Najaf	NJF	iq	31.997187	44.391626	Asia/Baghdad
=Al Najaf AlAshraf Intl NJF
Alor Setar	AOR	my	6.18967	100.39813	Asia/Kuala_Lumpur
Alpena	APN	us	45.080358	-83.564872	America/Detroit
Altay	AAT	cn	47.755298	88.092409	Asia/Urumqi	aat_rail	47.843675	88.137859
Al Ula	ULH	sa	26.63672	37.90802	Asia/Riyadh
Amami O shima	ASJ	jp	28.43063	129.71254	Asia/Tokyo
Amarillo	AMA	us	35.218982	-101.705835	America/Chicago
Ambon	AMQ	id	-3.705630	128.089601	Asia/Jayapura
Amman	ADJ	jo	31.975960	35.983266	Asia/Amman	adj_city	31.955110	35.950519
Amman	AMM	jo	31.7226009	35.9931984	Asia/Amman	amm_city	31.955110	35.950519
Amritsar	ATQ	in	31.706902	74.807389	Asia/Kolkata
Amsterdam	AMS	nl	52.308046	4.760133	Europe/Amsterdam
Anapa	AAQ	ru	45.003840	37.339997	Europe/Moscow
Anchorage	ANC	us-ak	61.1744003	-149.9960022	America/Anchorage
Ancona	AOI	it	43.607066	13.356009	Europe/Rome	aoi_falconara	43.630957	13.396393
Angers	ANE	fr	47.562809	-0.312495	Europe/Paris	ane_sncf	47.463831	-0.556220
Angers	QXG	fr	47.464528	-0.556443	Europe/Paris
Ankara	ESB	tr	40.114934	32.993204	Europe/Istanbul	esb_centre	39.935338	32.843172
Annaba	AAE	dz	36.8222007751465	7.8091697692	Africa/Algiers
Anqing	AQG	cn	30.584459	117.051554	Asia/Shanghai	aqg_rail	30.549568	117.066663
Anshan	AOG	cn	41.103248	122.861018	Asia/Shanghai	aog_rail	41.108695	122.983441
Anshun Huangguoshu	AVA	cn	26.254780	105.873116	Asia/Shanghai	ava_rail	26.229569	105.944853
Antalya	AYT	tr	36.909011	30.802447	Europe/Istanbul
Antananarivo	TNR	mg	-18.799733	47.475202	Indian/Antananarivo
Antigua	ANU	ag	17.140432	-61.792518	America/Antigua
Antofagasta	ANF	cl	-23.451403	-70.440837	America/Santiago
Antwerp	ANR	be	51.188424	4.451237	Europe/Brussels	anr_berchem	51.199858	4.432108
=Antwerp ZWE
Aomori	AOJ	jp	40.739118	140.689964	Asia/Tokyo
Apia	APW	ws	-13.832063	-172.010766	Pacific/Apia
Appleton	ATW	us	44.260304	-88.511124	America/Chicago
Aqaba	AQJ	jo	29.609473	35.020702	Asia/Amman
Aracaju	AJU	br	-10.984	-37.07033	America/Noronha
Arar	RAE	sa	30.903464	41.136114	Asia/Riyadh
Arequipa	AQP	pe	-16.344867	-71.566947	America/Lima
Arica	ARI	cl	-18.510291	-70.286854	America/Santiago
Arkhangelsk	ARH	ru	64.595944	40.715009	Europe/Moscow	arh_central	64.550361	40.575168
Armenia	AXM	co	4.453181	-75.767992	America/Bogota
Armidale	ARM	au-nsw	-30.532346	151.614756	Australia/Sydney	arm_railway	-30.515350	151.652137
Arnhem All airports	QAR-bus	nl	51.984297	5.900286	Europe/Amsterdam
=Arnhem Bus Station QAR
Aruba	AUA	aw	12.503143	-70.007735	America/Aruba
Asahikawa	AKJ	jp	43.67083	142.4475	Asia/Tokyo
Asheville	AVL	us	35.434997	-82.538191	America/New_York
Ashgabad	ASB	tm	37.984433	58.366820	Asia/Ashgabat
=Ashgabat ASB
Asmara	ASM	er	15.296519	38.904892	Africa/Asmara
Aspen	ASE	us	39.219840	-106.864041	America/Denver
Astana	TSE	kz	51.027873	71.463031	Asia/Almaty	tse_station	51.195482	71.410674
Astrakhan	ASF	ru	46.287684	47.999655	Europe/Volgograd	asf_astrakhan	46.360838	48.059521
Asturias	OVD	es	43.559476	-6.034424	Europe/Madrid
Asuncion	ASU	py	-25.241684	-57.514711	America/Asuncion
Athens	ATH	gr	37.937469	23.945609	Europe/Athens
Atlanta	ATL	us-ga	33.641157	-84.419716	America/New_York
Auckland	AKL	nz	-37.004670	174.783192	Pacific/Auckland	akl_Britomart	-36.844556	174.768837	40
Augusta	AGS	us	33.373308	-81.976127	America/New_York
Aurillac	AUR	fr	44.897903	2.420806	Europe/Paris
Austin	AUS	us-tx	30.202614	-97.666212	America/Chicago	aus_amtrak	30.269204	-97.756120
=Austin ASQ
Avalon	AVV	au-vic	-38.026442	144.473848	Australia/Melbourne	avv_lara	-38.021657	144.415075
Avignon	AVN	fr	43.904049	4.899188	Europe/Paris	avn_garesud	43.935672	4.839149
Avignon	XZN	fr	43.999702	4.756580	Europe/Paris	avn_garesud	43.935672	4.839149
Ayacucho	AYP	pe	-13.147502	-74.202526	America/Lima
Ayers Rock	AYQ	au-nt	-25.190855	130.976669	Australia/Darwin
Bijie	BFJ	cn	27.253	105.426	Asia/Shanghai
Badajoz	BJZ	es	38.883021	-6.815117	Europe/Madrid	bjz_centro	38.890204	-6.980813
Baghdad	BGW	iq	33.268529	44.230228	Asia/Baghdad	bgw_railway	33.336108	44.366071
Bahia Blanca	BHI	ar	-38.716781	-62.164432	America/Argentina/Buenos_Aires
Bahrain	BAH	bh	26.2707996	50.6335983	Asia/Bahrain
Baia Mare	BAY	ro	47.661027	23.466567	Europe/Bucharest
Baise	AEB	cn	23.716490	106.971447	Asia/Shanghai	aeb_tianyang	23.765855	106.937196
Baishan	NBS	cn	42.067370	127.611395	Asia/Shanghai	nbs_rail	41.927585	126.411886
Bakersfield	BFL	us	35.437897	-119.054131	America/Los_Angeles	bfl_amtrak	35.371838	-119.007266
Baku	GYD	az	40.464436	50.052364	Asia/Baku
Balikpapan	BPN	id	-1.261636	116.901303	Asia/Makassar
Ballina	BNK	au-nsw	-28.837697	153.556052	Australia/Sydney	
Balmaceda	BBA	cl	-45.913241	-71.694396	America/Santiago
Baltra Island	GPS	ec	-0.445252	-90.269940	Pacific/Galapagos
Bamako	BKO	ml	12.540983	-7.947709	Africa/Bamako
Banda Aceh	BTJ	id	5.52352	95.42037	Asia/Jakarta
Bandar Lampung	TKG	id	-5.24234	105.17894	Asia/Jakarta
Bandar Seri Begawan	BWN	bn	4.945926	114.932765	Asia/Brunei
=Bandar Seri begawan BWN
Bandung	BDO	id	-6.903660	107.578475	Asia/Jakarta
Bangalore	BLR	in	13.199446	77.709405	Asia/Kolkata
=Bengaluru BLR
Bangkok	BKK	th	13.693317	100.750891	Asia/Bangkok	bkk_ktm	13.740299	100.517467
Bangkok	DMK	th	13.9125996	100.6070023	Asia/Bangkok
Bangor	BGR	us	44.808343	-68.816193	America/New_York
Bangui	BGF	cf	4.399052	18.525296	Africa/Bangui
Banjarmasin	BDJ	id	-3.44236	114.76255	Asia/Makassar
Banjul	BJL	gm	13.33796	-16.65221	Africa/Banjul
Ban Me Thuot	BMV	vn	12.66831	108.12027	Asia/Ho_Chi_Minh
Banyuwangi Blimbingsari	BWX	id	-8.311805	114.340450	Asia/Jakarta
